ID,Etymon ID,Headword (Source Spelling),Headword (Practical Orthography),Headword (IPA),Part of Speech,Meaning (Spanish),Meaning (English),Sources,Full Original Entry,Alternate forms/spellings,Other,Editors,,Manuscript Page Number,Isolated Manuscript Latin,Latin Definition/Stems,Manuscript Spanish,Questionable/English,Isolated Manuscript Spanish,Meaning Spanish (unmodernized)
CHTMISC792,,pim,pim,,,grueso; gordo,thick; fat,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",grueso; gordo; pim,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,grueso; gordo,,,grueso; gordo
CHTMISC793,,hoban poc nuc,hob'an; pok nuk,,,gargajear,spit,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",gargajear; hoban; poc nuc,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,gargajear,,,gargajear
CHTMISC794,,chiic,chiik,,,gamo,deer (male),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",gamo; chiic,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,gamo,,,gamo
CHTMISC795,,maac,maak,,,caspa,dandruff,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",gaspa; maac,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,gaspa,,,gaspa
N2349,ETYMON999,miztun,mistun,,,gato,cat,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",gato; miztun,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,gato,,,gato
CHTMISC796,,niin,niin,,,gusano con quetiñe; como goma colorada o amarilla,bug (for red/yellow dye),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",gusano con q~ tiñe; niin; como goma colorada o amarillo,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,gusano con q~ tiñe,,como goma colorada o amarillo,gusano con q~ tiñe; como goma colorada o amarilla
CHTMISC797,,no,no,,,gordo; grueso,fat; thick,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",gordo; grueso; no,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,gordo; grueso,,,gordo; grueso
CHTMISC798,,numiail numtzaanil,numyail; numtzaanil,,,grande tormento,torment; pain,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",grande tormento; numiail; numtzaanil,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,grande tormento,,,grande tormento
CHTMISC799,,pumpu pi,pumpu; pi,,,gusano que deja la mosca; el gusano,maggot,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",gusano q~ deja la mosca; pumpu; el gusano; pi,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,gusano q~ deja la mosca,,el gusano,gusano q~ deja la mosca; el gusano
V1539,ETYMON1829,tene,tene,,,golpear con martillo,pound (hammer),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",golpear co~ martio; tene,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,golpear co~ martio,,,golpear co~ martio
N2238,ETYMON952,tul tulemael ,tul; tulemael ,,,gota; neutro,drop (liquid),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",gota; tul; tulemael; neuº,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,gota,,neuº,gota; neutro
CHTMISC800,,zacuitz muhan chuc chuc yux za,sakwitz; muhan; chuk chuk yux sa,,,gavilan; milano,hawk,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",gabilan; milano; zacuitz; muhan; chuc chuc yux za,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,gabilan; milano,,,gabilan; milano
CHTMISC801,,tzitzinab,tzitzinab',,,geme,measure (hand),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",geme; tzitzinab,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,geme,,,geme
CHTMISC802,,bitca,b'itca,,,garrotillo,garrote,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",garrotillo; bitca,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,garrotillo,,,garrotillo
CHTMISC803,,yquelmal,ikelmal,,,grande,big; strong,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",grande; yquelmal,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,grande,,,grande
CHTMISC804,,nuc,nuk,,,garganta; pescuezo,throat,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",garganta; nuc; pescueso,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,garganta,,pescueso,garganta; pescuezo
CHTMISC805,,pachca,pachka,,,cogote,head (back of),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",gogote; pachca,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,gogote,,,gogote
CHTMISC806,,v~nuc cav-oc,unuk kawok,,,garganta de el pie,ankle,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",garganta de el pie; v~nuc cav-oc,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,garganta de el pie,,,garganta de el pie
N1381,ETYMON619,ixchac,ixch'ak,,,garra,claw,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",garra; ixchac,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,garra,,,garra
CHTMISC807,,xou,xow,,,gorgojo,weevil; grub,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",gorgojo; xou,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,gorgojo,,,gorgojo
CHTMISC808,,bacxul cutza,bakxul; kutza,,,grasa,heron,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",garsa; bacxul; cutza idem,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,idem,"idem, eadem, idem  PRON. (w/-dem ONLY, idem, eadem, idem) same, the same, the very same, also;",garsa,,,garsa
CHTMISC809,,chahchib,chahchib',,,jicara agujereada,colander (perforated gourd),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",gicara abugereada; chahchib,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,gicara abugereada,,,gicara abugereada
N3367,ETYMON1276,vpi,upi,,,gusano; apretando los labios,worm,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",gusano; vpi; apretando los labios,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,gusano,,apretando los labios,gusano; apretando los labios
CHTMISC810,,amlu£ gutur,amluk,,,granos sabañones; con el,primitive grains (foodstuff)?,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",granos sabañones; amlu£; con el gutur,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,granos sabañones,,con el,granos sabañones; con el
CHTMISC811,,chocnal,choknal,,,elote,corn(young ear),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",gilote; chocnal,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,gilote,,,gilote
N2026,ETYMON867,bat,b'at,,,granizo ,hail,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",graniso; bat,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,,,graniso,,,graniso
CHTMISC812,,culuc,kuluk,,,"gusano peludo ponzoñoso; como erizo, en la pluma tizne el pona",caterpillar (hairy; poisonous),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",gusano peludo ponsoñoso; culuc; como eriso; en la pluma tiene el ponª,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.120,como,"como, comere, compsi, comptus [3] vt arrange/do (hair); adorn, make beautiful; embellish; arrange in order, set out;|como, comere, comsi, comtus [3] vt arrange/do (hair); adorn, make beautiful; embellish; arrange in order, set out;|como, comare [1] vt be furnished/covered with hair; clothe/deck with hair/something hair-like;",gusano peludo ponsoñoso,,"como eriso, en la pluma tiene el ponª","gusano peludo ponsoñoso; como erizo, en la pluma tiene el ponª"
N222,ETYMON78,vinic tehlom,winik; tehlom,,,hombre; marido,man,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hombre; vinic; tehlom idem; profamotiora marido,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,idem,"idem, eadem, idem  PRON. (w/-dem ONLY, idem, eadem, idem) same, the same, the very same, also;",hombre,profamotiora,marido,hombre; marido
CHTMISC813,,alab,alab',,,hechizero,shaman; witch; curer,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hechisero; alab,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,hechisero,,,hechisero
CHTMISC814,,çapa,sapa,,,hincar; baja palo y clavo,drive in (nail; stick),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hincar; çapa; baja palo i clabo,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,palo,"palus, pali masc. stake/pile/pole/unsplit wood; peg/pin; execution stake; wood sword; fence (pl.);
palum, pali neut. stake/pile/pole/unsplit wood; peg/pin; execution stake; wood sword; fence (pl.);",hincar,,baja palo i clabo,hincar; baja palo y clavo
N2130,ETYMON900,butz,b'utz,,,humo,smoke,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",humo; butz,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,humo,,,humo
CHTMISC815,,hohlez,hohles,,,honrar; engrandecer,honor; enoble,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",honrar; e~grandeser; hohlez,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,honrar; e~grandeser,,,honrar; e~grandeser
CHTMISC816,,nohlezbil vinic,nohlesb'il winik,,,hombre honrado,honored man,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hombre honrado; nohlezbil vinic,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,hombre honrado,,,hombre honrado
CHTMISC817,,tam,tam,,,hondo,deep,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hondo; tam,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,hondo,,,hondo
CHTMISC818,,vahnez,wahnes,,,hacer correr,cause (to run),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",haser correr; vahnez,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,haser correr,,,haser correr
CHTMISC819,,çacun,sakun,,,hermano mayor,older brother,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hermano mayor; çacun,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,hermano mayor,,,hermano mayor
CHTMISC820,,boch,b'och,,,hacer sombra,make shade,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",haser sombra; boch,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,haser sombra,,,haser sombra
CHTMISC821,,champez,champes,,,hacer restañar,staunch (blood),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",haser restañar; champez,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,haser restañar,,,haser restañar
CHTMISC822,,chaquib,chakib',,,hacha,ax,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hacha; chaquib,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,hacha,,,hacha
CHTMISC823,,checta tahvin,chekta; tahwin,,,hallar,find; meet,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hallar; checta; tahvin idem,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,idem,"idem, eadem, idem  PRON. (w/-dem ONLY, idem, eadem, idem) same, the same, the very same, also;",hallar,,,hallar
CHTMISC824,,xuch,xuch,,,hurto,thievery,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hurto; xuch,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,hurto,,,hurto
A449,ETYMON2512,tu tulauel ,tu; tulawel ,,,heder; hedor; hediondo verbo neutro,stink,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",heder; hedor; tu; hediondo; tulauel vº neº,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,heder; hedor,,hediondo vº neº,heder; hedor; hediondo verbo neutro
CHTMISC825,,choc,chok,,,hijo; hija,child,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hijo; hija; choc,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,hijo; hija,,,hijo; hija
CHTMISC826,,chuimiel tzulmiel,chuymiel; tzulmiel,,,humedeserse algo,wet s.t.,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",humedeserse algo; chuimiel; tzulmiel,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,humedeserse algo,,,humedeserse algo
CHTMISC827,,numtan u-tzuimiel vaie,numtan utzulmiel waye,,,humedad; lo mismo; muy humedo esta esto aqui,humidity,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",humedad; lo mismo; mui humedo esta esto aqui; numtan u-tzuimiel vaie,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,humedad; lo mismo ,,mui humedo esta esto aqui,humedad; lo mismo; muy humedo esta esto aqui
CHTMISC828,,zicun yatzi,sicun; yatzi,,,hozar,clear (land for planting),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hosar; zicun; yatzi,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,hosar,,,hosar
CHTMISC829,,com vinic,kom winik,,,hombre pequeño,man (short),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hombre pequeño; com vinic,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,hombre pequeño,,,hombre pequeño
CHTMISC830,,tzoil vinic,tzoil winik,,,hombre maganto,man (dull; wan),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hombre maganto; tzoil vinic,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,hombre maganto,,,hombre maganto
CHTMISC831,,copal intaual,copal; intawal,,,hijo adoptivo; también,son (adoptive),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hijo adoptiuo; copal; intaual tambien,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,hijo adoptiuo,,tambien,hijo adoptiuo; también
CHTMISC832,,hata ,hata ,,,hender; verbo activo,cleave; crack open,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hender; hata; vº actiuo,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,hender,,vº actiuo,hender; verbo activo
CHTMISC833,,nohlezbail vinic,nohlesbail winik,,,hombre soberbio,man (proud),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hombre soberbio; nohlezbail vinic,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,hombre soberbio,,,hombre soberbio
N341,ETYMON112,ytzin,itz'in,,,hermano menor; y también nieto,brother (younger),"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hermano menor; ytzin; i tambien nieto,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,hermano menor,,i tambien nieto,hermano menor; y tambien nieto
CHTMISC834,,ytan,itan,,,hermana,sister,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hermana; ytan,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,hermana,,,hermana
CHTMISC835,,lab,lab',,,hechizo,spell; bewitchment,"Robertson, J., Law, D., & Haertel, R. (2010). Colonial Ch’olti’: The seventeenth century Morán Manuscript. Norman, OK: University of Oklahoma Press.",hechiso; lab,,,"{""editors"":[{""editor"":""Kevin Barcenas"",""dates"":[""2024-05-23"",""2024-07-07""]},{""editor"":""Maya Martinez"",""dates"":[""2024-02-22"",""2024-05-19""]}]}",,pg.123,,,hechiso,,,hechiso
