ID,meaning,semantic tag,Etymon ID,Etymon,pS root,Part of Speech,language,script,transliteration,Sem normalization,IPA singular,gender,f markedness,pS pattern,Sem normalization pl,IPA plural,pS plural pattern,PS plural suffix,deptotic,"Tag (popularity) insert word. rate, archaic, wanderwort, borrowed. ambiguous. no derivation [for primary nouns] primary nouns [divide with commas], deptotic",Donor language (in cases of borrowing),Donor word (in the original language),data source,Notes
ETYMON36,,BP_TO,,sinn-,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
N128,hair,BP_HA,ETYMON37,,,noun,Akkadian,,,šārtum,ʃa:rtum,F,TRUE,qāl-t,šārātum,ʃa:ra:tum,same,a:t,,,,,,
N129,hair,BP_HA,ETYMON37,,,noun,Syriac,ܣܥܪ,sˤr,sˤar,sʕar,M,FALSE,,,,,,,,,,,
N130,hair,BP_HA,ETYMON37,,,noun,Ethiopic,"ሥዕርት, ስእርት","śəˤərətə, səʔərətə", śəˤərt,ɬɨʕɨrt,,TRUE,,,,,,,,,,,
N131,hair,BP_HA,ETYMON37,,,noun,Hebrew,שער,śʕr ,śēˤār,ɬe:ʕa:r,M,FALSE,qital,NA,NA,NA,NA,,,,,,
N132,hair,BP_HA,ETYMON37,,,noun,Arabic,شعر,šˤr,"šaˤr, šaˤar","ʃaʕr, ʃaʕar",M,FALSE,"*qatl, qatal",šuˤūr,ʃuʕu:r,*qutu:l,,,,,,,
ETYMON37,,BP_HA,,ɬaˤr-,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
A11,big,SR_XL,ETYMON38,,,adjective,Akkadian,,,rabû,rabu:,,,qatil,,,,,,,,,,
A12,big,SR_XL,ETYMON39,,,adjective,Syriac,ܪܒ,rb,rabb,rabb,,,qatil,,,,,,,,,,
A13,big,SR_XL,ETYMON40,,,adjective,Ethiopic,ዐቢይ,ˤabiyə,ˤabiyy,ʕabijj,,,qatil,,,,,,,,,,
A14,big,SR_XL,ETYMON41,,,adjective,Hebrew,גדול,gdwl,gādōl,ga:do:l,,,qatul,,,,,,,,,,
A15,big,SR_XL,ETYMON42,,,adjective,Arabic,كبير,kbyr,kabīr,kabi:r,,,qati:l,,,,,,,,,,
ETYMON38,,SR_XL,,rabij,,adjective,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON39,,SR_XL,,rabb,,adjective,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON40,,SR_XL,,ˤby,,adjective,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON41,,SR_XL,,gdl,,adjective,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON42,,SR_XL,,kbr,,adjective,Proto-Semitic,,,,,,,,,,,,,,,,,
NM1,one (m),"QN_ON, QN_AO, QN_NN",ETYMON43,,,numeral,Akkadian,,,ištēn,iʃte:n,,,,,,,,,,,,,
NM2,one (m),"QN_ON, QN_AO, QN_NN",ETYMON44,,,numeral,Syriac,ܚܕ,ḥd,ḥad,ħad,,,,,,,,,,,,,
NM3,one (m),"QN_ON, QN_AO, QN_NN",ETYMON44,,,numeral,Ethiopic,አሐዱ,ʼaḥadu,ʼaḥadu,ʔaħadu,,,,,,,,,,,,,
NM4,one (m),"QN_ON, QN_AO, QN_NN",ETYMON44,,,numeral,Hebrew,"אחד, אחת","ˀḥd, ˀḥt","ˀeḥād, ˀaḥat","ʔeħa:d, ʔaħat",,,,ˀăḥādīm,ʔaħa:di:m,*qatal,*u:,,,,,,
NM5,one (m),"QN_ON, QN_AO, QN_NN",ETYMON44,,,numeral,Arabic,"واحد, وحد","wʼḥd, wḥd",wāḥid,wa:ħid,,,,,,,,,,,,,
ETYMON43,,"QN_ON, QN_AO, QN_NN",,ˤast-aj,,numeral,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON44,,"QN_ON, QN_AO, QN_NN",,ʔaħad,,numeral,Proto-Semitic,,,,,,,,,,,,,,,,,
PN17,who?,,ETYMON45,,,pronoun,Akkadian,,,mannu,mann,,,,,,,,,,,,,
PN18,who?,,ETYMON45,,,pronoun,Syriac,ܡܢ,mn,man,man,,,,,,,,,,,,,
PN19,who?,,ETYMON45,,,pronoun,Ethiopic,መኑ,manu,mannu,mannu,,,,,,,,,,,,,
PN20,who?,,ETYMON46,,,pronoun,Hebrew,מי,my,mî,mi:,,,,,,,,,,,,,
PN21,who?,,ETYMON45,,,pronoun,Arabic,من,mn,man,man,,,,,,,,,,,,,
ETYMON45,,,,mann-,,pronoun,Proto-Semitic,,,,,,,,,,,,,,,,,
ETYMON46,,,,miy,,pronoun,Proto-Semitic,,,,,,,,,,,,,,,,,
PN22,"3sg pronoun, nom, ms",,ETYMON47,,,pronoun,Akkadian,,,šū,ʃu:,,,,,,,,,,,,,
PN23,"3sg pronoun, nom, ms",,ETYMON47,,,pronoun,Syriac,ܗܘ,hw,hu,hu,,,,,,,,,,,,,
PN24,"3sg pronoun, nom, ms",,ETYMON47,,,pronoun,Ethiopic,ውእቱ,wəʼətu,wəʼətu,wɨʔɨtu,,,,,,,,,,,,,
PN25,"3sg pronoun, nom, ms",,ETYMON47,,,pronoun,Hebrew,הוא,hwˀ,hûˀ,hu:,,,,,,,,,,,,,
PN26,"3sg pronoun, nom, ms",,ETYMON47,,,pronoun,Arabic,هو,hw,huwa,huwa,,,,,,,,,,,,,
ETYMON47,,,,suʔa,,pronoun,Proto-Semitic,,,,,,,,,,,,,,,,,
PN27,"3sg pronoun, nom, fs",,ETYMON48,,,pronoun,Akkadian,,,šī,ʃi:,,,,,,,,,,,,,
PN28,"3sg pronoun, nom, fs",,ETYMON48,,,pronoun,Syriac,ܗܝ,hy,hi,hi,,,,,,,,,,,,,
PN29,"3sg pronoun, nom, fs",,ETYMON48,,,pronoun,Ethiopic,ይእቲ,yəʼəti,yəʼəti,yɨʔɨti,,,,,,,,,,,,,
PN30,"3sg pronoun, nom, fs",,ETYMON48,,,pronoun,Hebrew,היא,hyˀ,hîˀ,hi:,,,,,,,,,,,,,
PN31,"3sg pronoun, nom, fs",,ETYMON48,,,pronoun,Arabic,هي,hy,hiya,hija,,,,,,,,,,,,,
